"Nationality","StartYear","count"
"American",1929,18
"American",1930,72
"American",1931,5
"American",1932,110
"American",1933,69
"American",1934,105
"American",1935,23
"American",1936,187
"American",1937,133
"American",1938,204
"American",1939,127
"American",1940,226
"American",1941,241
"American",1942,270
"American",1943,171
"American",1944,276
"American",1945,189
"American",1946,191
"American",1947,150
"American",1948,314
"American",1949,256
"American",1950,235
"American",1951,306
"American",1952,226
"American",1953,228
"American",1954,221
"American",1955,194
"American",1956,113
"American",1957,120
"American",1958,224
"American",1959,281
"American",1960,334
"American",1961,156
"American",1962,159
"American",1963,91
"American",1964,317
"American",1965,214
"American",1966,176
"American",1967,256
"American",1968,272
"American",1969,282
"American",1970,207
"American",1971,362
"American",1972,199
"American",1973,159
"American",1974,220
"American",1975,168
"American",1976,331
"American",1977,257
"American",1978,340
"American",1979,382
"American",1980,192
"American",1981,253
"American",1982,91
"American",1983,195
"American",1984,259
"American",1985,375
"American",1986,186
"American",1987,280
"American",1988,232
"American",1989,201
"Austrian",1931,1
"Austrian",1934,5
"Austrian",1936,4
"Austrian",1937,5
"Austrian",1939,1
"Austrian",1940,3
"Austrian",1941,3
"Austrian",1942,1
"Austrian",1944,3
"Austrian",1945,1
"Austrian",1946,4
"Austrian",1947,3
"Austrian",1948,2
"Austrian",1949,3
"Austrian",1950,6
"Austrian",1951,2
"Austrian",1952,1
"Austrian",1953,6
"Austrian",1954,3
"Austrian",1955,6
"Austrian",1956,2
"Austrian",1957,7
"Austrian",1958,6
"Austrian",1959,1
"Austrian",1960,11
"Austrian",1961,2
"Austrian",1962,2
"Austrian",1963,1
"Austrian",1964,4
"Austrian",1965,3
"Austrian",1966,6
"Austrian",1967,5
"Austrian",1968,7
"Austrian",1969,1
"Austrian",1970,9
"Austrian",1971,8
"Austrian",1972,6
"Austrian",1973,5
"Austrian",1974,5
"Austrian",1975,6
"Austrian",1976,5
"Austrian",1977,1
"Austrian",1978,5
"Austrian",1979,9
"Austrian",1980,6
"Austrian",1981,2
"Austrian",1983,7
"Austrian",1984,8
"Austrian",1985,8
"Austrian",1986,6
"Austrian",1987,8
"Austrian",1988,15
"Austrian",1989,6
"Belgian",1932,1
"Belgian",1936,4
"Belgian",1937,2
"Belgian",1939,3
"Belgian",1940,2
"Belgian",1941,3
"Belgian",1942,2
"Belgian",1944,2
"Belgian",1945,3
"Belgian",1946,6
"Belgian",1948,1
"Belgian",1949,2
"Belgian",1950,2
"Belgian",1951,3
"Belgian",1952,5
"Belgian",1954,4
"Belgian",1955,2
"Belgian",1957,2
"Belgian",1958,1
"Belgian",1959,4
"Belgian",1960,9
"Belgian",1961,7
"Belgian",1962,2
"Belgian",1963,1
"Belgian",1964,6
"Belgian",1965,6
"Belgian",1966,5
"Belgian",1967,5
"Belgian",1968,7
"Belgian",1969,3
"Belgian",1970,3
"Belgian",1971,6
"Belgian",1972,5
"Belgian",1973,4
"Belgian",1974,2
"Belgian",1975,3
"Belgian",1976,5
"Belgian",1977,9
"Belgian",1978,6
"Belgian",1979,5
"Belgian",1980,8
"Belgian",1981,1
"Belgian",1983,6
"Belgian",1984,7
"Belgian",1985,4
"Belgian",1986,2
"Belgian",1987,6
"Belgian",1988,3
"Belgian",1989,4
"British",1932,3
"British",1933,2
"British",1934,3
"British",1935,1
"British",1936,14
"British",1937,23
"British",1938,3
"British",1939,4
"British",1940,10
"British",1941,29
"British",1942,16
"British",1943,6
"British",1944,32
"British",1945,13
"British",1946,14
"British",1947,5
"British",1948,14
"British",1949,23
"British",1950,30
"British",1951,9
"British",1952,7
"British",1953,19
"British",1954,19
"British",1955,15
"British",1956,16
"British",1957,9
"British",1958,16
"British",1959,19
"British",1960,35
"British",1961,14
"British",1962,12
"British",1963,6
"British",1964,35
"British",1965,10
"British",1966,18
"British",1967,21
"British",1968,33
"British",1969,23
"British",1970,33
"British",1971,19
"British",1972,17
"British",1973,29
"British",1974,7
"British",1975,18
"British",1976,31
"British",1977,55
"British",1978,33
"British",1979,44
"British",1980,21
"British",1981,30
"British",1982,2
"British",1983,17
"British",1984,30
"British",1985,26
"British",1986,17
"British",1987,34
"British",1988,19
"British",1989,22
"Canadian",1941,2
"Canadian",1942,1
"Canadian",1945,1
"Canadian",1947,2
"Canadian",1949,2
"Canadian",1954,2
"Canadian",1955,4
"Canadian",1956,1
"Canadian",1957,1
"Canadian",1958,1
"Canadian",1959,1
"Canadian",1960,1
"Canadian",1961,1
"Canadian",1962,8
"Canadian",1964,2
"Canadian",1965,1
"Canadian",1966,5
"Canadian",1967,25
"Canadian",1969,1
"Canadian",1970,1
"Canadian",1971,3
"Canadian",1974,1
"Canadian",1976,2
"Canadian",1977,3
"Canadian",1978,2
"Canadian",1979,4
"Canadian",1980,2
"Canadian",1982,3
"Canadian",1983,11
"Canadian",1984,8
"Canadian",1985,2
"Canadian",1986,1
"Canadian",1987,5
"Canadian",1988,4
"Canadian",1989,1
"Dutch",1929,1
"Dutch",1930,1
"Dutch",1932,6
"Dutch",1933,7
"Dutch",1934,5
"Dutch",1935,3
"Dutch",1936,12
"Dutch",1937,4
"Dutch",1939,2
"Dutch",1940,5
"Dutch",1941,7
"Dutch",1942,3
"Dutch",1943,1
"Dutch",1944,7
"Dutch",1945,7
"Dutch",1946,9
"Dutch",1947,2
"Dutch",1948,4
"Dutch",1949,10
"Dutch",1950,8
"Dutch",1951,3
"Dutch",1952,14
"Dutch",1953,7
"Dutch",1954,9
"Dutch",1955,7
"Dutch",1956,2
"Dutch",1957,4
"Dutch",1958,11
"Dutch",1959,4
"Dutch",1960,13
"Dutch",1961,2
"Dutch",1962,2
"Dutch",1963,1
"Dutch",1964,14
"Dutch",1966,5
"Dutch",1968,12
"Dutch",1969,8
"Dutch",1970,5
"Dutch",1971,5
"Dutch",1972,10
"Dutch",1973,11
"Dutch",1974,4
"Dutch",1975,7
"Dutch",1976,15
"Dutch",1977,13
"Dutch",1978,3
"Dutch",1979,6
"Dutch",1980,9
"Dutch",1981,2
"Dutch",1982,6
"Dutch",1983,7
"Dutch",1984,10
"Dutch",1985,11
"Dutch",1986,3
"Dutch",1987,7
"Dutch",1988,12
"Dutch",1989,3
"French",1929,3
"French",1930,44
"French",1931,20
"French",1932,43
"French",1933,95
"French",1934,75
"French",1935,22
"French",1936,102
"French",1937,56
"French",1938,9
"French",1939,37
"French",1940,76
"French",1941,97
"French",1942,63
"French",1943,9
"French",1944,91
"French",1945,88
"French",1946,105
"French",1947,37
"French",1948,61
"French",1949,91
"French",1950,47
"French",1951,51
"French",1952,91
"French",1953,65
"French",1954,90
"French",1955,76
"French",1956,23
"French",1957,24
"French",1958,71
"French",1959,32
"French",1960,145
"French",1961,68
"French",1962,32
"French",1963,13
"French",1964,98
"French",1965,55
"French",1966,50
"French",1967,60
"French",1968,79
"French",1969,65
"French",1970,42
"French",1971,55
"French",1972,81
"French",1973,46
"French",1974,77
"French",1975,54
"French",1976,106
"French",1977,88
"French",1978,49
"French",1979,89
"French",1980,72
"French",1981,41
"French",1982,26
"French",1983,45
"French",1984,63
"French",1985,42
"French",1986,35
"French",1987,74
"French",1988,41
"French",1989,72
"German",1930,5
"German",1931,24
"German",1932,9
"German",1933,15
"German",1934,25
"German",1935,5
"German",1936,30
"German",1937,15
"German",1938,6
"German",1939,11
"German",1940,13
"German",1941,29
"German",1942,13
"German",1943,2
"German",1944,22
"German",1945,20
"German",1946,28
"German",1947,8
"German",1948,22
"German",1949,34
"German",1950,25
"German",1951,15
"German",1952,15
"German",1953,22
"German",1954,36
"German",1955,34
"German",1956,15
"German",1957,44
"German",1958,38
"German",1959,7
"German",1960,56
"German",1961,15
"German",1962,29
"German",1963,9
"German",1964,41
"German",1965,20
"German",1966,19
"German",1967,36
"German",1968,47
"German",1969,19
"German",1970,28
"German",1971,26
"German",1972,17
"German",1973,43
"German",1974,29
"German",1975,37
"German",1976,46
"German",1977,26
"German",1978,17
"German",1979,49
"German",1980,17
"German",1981,26
"German",1982,20
"German",1983,42
"German",1984,50
"German",1985,71
"German",1986,43
"German",1987,72
"German",1988,53
"German",1989,62
"Italian",1930,2
"Italian",1931,1
"Italian",1932,4
"Italian",1933,6
"Italian",1934,6
"Italian",1935,2
"Italian",1936,13
"Italian",1937,3
"Italian",1938,2
"Italian",1939,3
"Italian",1940,8
"Italian",1941,4
"Italian",1942,7
"Italian",1943,3
"Italian",1944,6
"Italian",1945,5
"Italian",1946,8
"Italian",1947,6
"Italian",1948,5
"Italian",1949,42
"Italian",1950,13
"Italian",1951,7
"Italian",1952,15
"Italian",1953,22
"Italian",1954,46
"Italian",1955,18
"Italian",1956,4
"Italian",1957,4
"Italian",1958,29
"Italian",1959,9
"Italian",1960,29
"Italian",1961,28
"Italian",1962,10
"Italian",1963,2
"Italian",1964,19
"Italian",1965,28
"Italian",1966,14
"Italian",1967,24
"Italian",1968,18
"Italian",1969,14
"Italian",1970,32
"Italian",1971,17
"Italian",1972,17
"Italian",1973,9
"Italian",1974,7
"Italian",1975,16
"Italian",1976,17
"Italian",1977,9
"Italian",1978,7
"Italian",1979,30
"Italian",1980,9
"Italian",1981,11
"Italian",1982,8
"Italian",1983,13
"Italian",1984,25
"Italian",1985,13
"Italian",1986,19
"Italian",1987,18
"Italian",1988,11
"Italian",1989,11
"Japanese",1936,1
"Japanese",1941,1
"Japanese",1950,1
"Japanese",1953,1
"Japanese",1954,6
"Japanese",1955,10
"Japanese",1958,36
"Japanese",1959,8
"Japanese",1960,14
"Japanese",1961,2
"Japanese",1962,2
"Japanese",1964,10
"Japanese",1965,3
"Japanese",1966,37
"Japanese",1967,8
"Japanese",1968,4
"Japanese",1969,4
"Japanese",1970,6
"Japanese",1971,3
"Japanese",1972,1
"Japanese",1973,12
"Japanese",1974,14
"Japanese",1975,2
"Japanese",1976,5
"Japanese",1977,3
"Japanese",1978,3
"Japanese",1979,22
"Japanese",1980,4
"Japanese",1981,1
"Japanese",1983,8
"Japanese",1984,5
"Japanese",1986,27
"Japanese",1987,1
"Japanese",1988,8
"Japanese",1989,25
"Mexican",1930,1
"Mexican",1931,1
"Mexican",1932,3
"Mexican",1933,3
"Mexican",1934,3
"Mexican",1936,3
"Mexican",1937,1
"Mexican",1939,3
"Mexican",1940,25
"Mexican",1941,10
"Mexican",1942,18
"Mexican",1943,40
"Mexican",1944,13
"Mexican",1945,15
"Mexican",1946,12
"Mexican",1947,8
"Mexican",1948,6
"Mexican",1949,13
"Mexican",1950,10
"Mexican",1951,1
"Mexican",1952,2
"Mexican",1953,2
"Mexican",1954,28
"Mexican",1955,12
"Mexican",1956,1
"Mexican",1957,1
"Mexican",1958,4
"Mexican",1959,1
"Mexican",1960,14
"Mexican",1961,3
"Mexican",1962,1
"Mexican",1963,2
"Mexican",1964,8
"Mexican",1966,2
"Mexican",1967,12
"Mexican",1968,4
"Mexican",1969,4
"Mexican",1970,2
"Mexican",1971,15
"Mexican",1972,3
"Mexican",1973,3
"Mexican",1974,1
"Mexican",1975,7
"Mexican",1976,7
"Mexican",1977,1
"Mexican",1978,25
"Mexican",1979,4
"Mexican",1980,1
"Mexican",1981,2
"Mexican",1982,1
"Mexican",1983,6
"Mexican",1984,5
"Mexican",1985,1
"Mexican",1986,4
"Mexican",1989,2
"Polish",1936,1
"Polish",1944,1
"Polish",1948,2
"Polish",1949,3
"Polish",1952,1
"Polish",1953,1
"Polish",1954,2
"Polish",1957,2
"Polish",1958,1
"Polish",1960,7
"Polish",1961,10
"Polish",1962,10
"Polish",1963,1
"Polish",1964,2
"Polish",1965,5
"Polish",1966,3
"Polish",1967,1
"Polish",1968,3
"Polish",1969,1
"Polish",1970,3
"Polish",1971,1
"Polish",1973,2
"Polish",1974,2
"Polish",1976,8
"Polish",1977,1
"Polish",1978,2
"Polish",1980,2
"Polish",1983,3
"Polish",1984,2
"Polish",1985,4
"Polish",1986,1
"Polish",1987,6
"Polish",1988,6
"Polish",1989,4
"Russian",1932,2
"Russian",1934,10
"Russian",1936,17
"Russian",1937,5
"Russian",1940,2
"Russian",1941,4
"Russian",1942,4
"Russian",1943,3
"Russian",1944,8
"Russian",1945,6
"Russian",1946,3
"Russian",1947,1
"Russian",1948,3
"Russian",1949,3
"Russian",1950,3
"Russian",1951,1
"Russian",1953,2
"Russian",1954,6
"Russian",1955,1
"Russian",1956,1
"Russian",1957,2
"Russian",1960,11
"Russian",1961,1
"Russian",1962,6
"Russian",1964,5
"Russian",1965,2
"Russian",1968,10
"Russian",1969,1
"Russian",1970,2
"Russian",1971,14
"Russian",1972,5
"Russian",1973,10
"Russian",1974,13
"Russian",1975,5
"Russian",1976,10
"Russian",1977,9
"Russian",1978,26
"Russian",1979,21
"Russian",1980,2
"Russian",1981,5
"Russian",1982,3
"Russian",1983,7
"Russian",1984,7
"Russian",1985,19
"Russian",1986,3
"Russian",1987,17
"Russian",1988,33
"Russian",1989,11
"Spanish",1930,5
"Spanish",1931,1
"Spanish",1932,2
"Spanish",1933,9
"Spanish",1934,10
"Spanish",1935,3
"Spanish",1936,14
"Spanish",1937,14
"Spanish",1938,1
"Spanish",1939,7
"Spanish",1940,20
"Spanish",1941,22
"Spanish",1942,8
"Spanish",1943,2
"Spanish",1944,16
"Spanish",1945,14
"Spanish",1946,23
"Spanish",1947,11
"Spanish",1948,18
"Spanish",1949,20
"Spanish",1950,11
"Spanish",1951,6
"Spanish",1952,14
"Spanish",1953,7
"Spanish",1954,8
"Spanish",1955,11
"Spanish",1956,4
"Spanish",1957,5
"Spanish",1958,11
"Spanish",1959,7
"Spanish",1960,32
"Spanish",1961,13
"Spanish",1962,9
"Spanish",1963,1
"Spanish",1964,14
"Spanish",1965,12
"Spanish",1966,20
"Spanish",1967,7
"Spanish",1968,11
"Spanish",1969,11
"Spanish",1970,10
"Spanish",1971,11
"Spanish",1972,11
"Spanish",1973,16
"Spanish",1974,10
"Spanish",1975,11
"Spanish",1976,17
"Spanish",1977,12
"Spanish",1978,10
"Spanish",1979,12
"Spanish",1980,9
"Spanish",1981,9
"Spanish",1982,5
"Spanish",1983,12
"Spanish",1984,14
"Spanish",1985,6
"Spanish",1986,5
"Spanish",1987,16
"Spanish",1988,9
"Spanish",1989,16
"Swiss",1932,1
"Swiss",1933,2
"Swiss",1934,1
"Swiss",1935,1
"Swiss",1936,5
"Swiss",1937,1
"Swiss",1939,2
"Swiss",1940,2
"Swiss",1941,7
"Swiss",1942,3
"Swiss",1944,8
"Swiss",1945,1
"Swiss",1946,5
"Swiss",1948,2
"Swiss",1949,9
"Swiss",1950,2
"Swiss",1951,9
"Swiss",1952,5
"Swiss",1953,10
"Swiss",1954,1
"Swiss",1955,6
"Swiss",1957,8
"Swiss",1958,10
"Swiss",1959,8
"Swiss",1960,17
"Swiss",1961,5
"Swiss",1962,7
"Swiss",1964,14
"Swiss",1965,7
"Swiss",1966,4
"Swiss",1967,3
"Swiss",1968,26
"Swiss",1969,4
"Swiss",1970,10
"Swiss",1971,5
"Swiss",1972,4
"Swiss",1973,8
"Swiss",1974,4
"Swiss",1975,5
"Swiss",1976,10
"Swiss",1977,13
"Swiss",1978,2
"Swiss",1979,9
"Swiss",1980,3
"Swiss",1981,6
"Swiss",1982,1
"Swiss",1983,5
"Swiss",1984,9
"Swiss",1985,8
"Swiss",1986,5
"Swiss",1987,9
"Swiss",1988,32
"Swiss",1989,9
